% Model,SOR optimaze — копия.mph
% Version,COMSOL 6.0.0.318
% Date,"May 27 2023, 13:52"
% Table,Table  - Integral
% light,k5,k9,target
6.100000000000001E-5,3.000000000000000E3,8.100000000000001E-4,1.503064503425795E-7
6.100000000000001E-5,3.000000000000000E3,9.100000000000001E-4,1.503064503324515E-7
6.100000000000001E-5,4.000000000000000E3,1.000000000000000E-5,1.496060400793719E-7
6.100000000000001E-5,4.000000000000000E3,1.100000000000000E-4,1.496060400665535E-7
6.100000000000001E-5,4.000000000000000E3,2.100000000000000E-4,1.496060400537351E-7
6.100000000000001E-5,4.000000000000000E3,3.100000000000001E-4,1.496060400409170E-7
6.100000000000001E-5,4.000000000000000E3,4.100000000000001E-4,1.496060400280990E-7
6.100000000000001E-5,4.000000000000000E3,5.100000000000000E-4,1.496060400152803E-7
6.100000000000001E-5,4.000000000000000E3,6.100000000000001E-4,1.496060400024620E-7
6.100000000000001E-5,4.000000000000000E3,7.100000000000000E-4,1.496060399896437E-7
6.100000000000001E-5,4.000000000000000E3,8.100000000000001E-4,1.496060399768256E-7
6.100000000000001E-5,4.000000000000000E3,9.100000000000001E-4,1.496060399640068E-7
6.100000000000001E-5,5.000000000000000E3,1.000000000000000E-5,1.489400593457938E-7
6.100000000000001E-5,5.000000000000000E3,1.100000000000000E-4,1.489400593305188E-7
6.100000000000001E-5,5.000000000000000E3,2.100000000000000E-4,1.489400593152444E-7
6.100000000000001E-5,5.000000000000000E3,3.100000000000001E-4,1.489400592999691E-7
6.100000000000001E-5,5.000000000000000E3,4.100000000000001E-4,1.489400592846936E-7
6.100000000000001E-5,5.000000000000000E3,5.100000000000000E-4,1.489400592694181E-7
6.100000000000001E-5,5.000000000000000E3,6.100000000000001E-4,1.489400592541429E-7
6.100000000000001E-5,5.000000000000000E3,7.100000000000000E-4,1.489400592388680E-7
6.100000000000001E-5,5.000000000000000E3,8.100000000000001E-4,1.489400592235923E-7
6.100000000000001E-5,5.000000000000000E3,9.100000000000001E-4,1.489400592083176E-7
7.100000000000000E-5,2.000000000000000E3,1.000000000000000E-5,1.481689744915885E-7
7.100000000000000E-5,2.000000000000000E3,1.100000000000000E-4,1.481689744839615E-7
7.100000000000000E-5,2.000000000000000E3,2.100000000000000E-4,1.481689744763331E-7
7.100000000000000E-5,2.000000000000000E3,3.100000000000001E-4,1.481689744687044E-7
7.100000000000000E-5,2.000000000000000E3,4.100000000000001E-4,1.481689744610777E-7
7.100000000000000E-5,2.000000000000000E3,5.100000000000000E-4,1.481689744534501E-7
7.100000000000000E-5,2.000000000000000E3,6.100000000000001E-4,1.481689744458221E-7
7.100000000000000E-5,2.000000000000000E3,7.100000000000000E-4,1.481689744381942E-7
7.100000000000000E-5,2.000000000000000E3,8.100000000000001E-4,1.481689744305668E-7
7.100000000000000E-5,2.000000000000000E3,9.100000000000001E-4,1.481689744229389E-7
7.100000000000000E-5,3.000000000000000E3,1.000000000000000E-5,1.474070994244066E-7
7.100000000000000E-5,3.000000000000000E3,1.100000000000000E-4,1.474070994136944E-7
7.100000000000000E-5,3.000000000000000E3,2.100000000000000E-4,1.474070994029808E-7
7.100000000000000E-5,3.000000000000000E3,3.100000000000001E-4,1.474070993922681E-7
7.100000000000000E-5,3.000000000000000E3,4.100000000000001E-4,1.474070993815553E-7
7.100000000000000E-5,3.000000000000000E3,5.100000000000000E-4,1.474070993708423E-7
7.100000000000000E-5,3.000000000000000E3,6.100000000000001E-4,1.474070993601290E-7
